Name;Seconds;AlbumId
Have You Ever Needed Someone So Bad;319;67
Rock Of Ages;248;67
Hysteria;355;67
Bringin' On The Heartbreak;272;67
Roll Call;321;68
Otay;424;68
Groovus Interruptus;319;68
Paris On Mine;369;68
In Time;369;68
Plan B;272;68
Outbreak;659;68
Baltimore, DC;347;68
Talkin Loud and Saying Nothin;360;68
Pétala;270;69
Meu Bem-Querer;256;69
Cigano;305;69
Boa Noite;339;69
Fato Consumado;212;69
Faltando Um Pedaço;268;69
Álibi;213;69
Esquinas;281;69
Se...;286;69
Eu Te Devoro;312;69
Lilás;274;69
Acelerou;284;69
Um Amor Puro;328;69
Samurai;331;70
Nem Um Dia;337;70
Oceano;217;70
Açai;271;70
Serrado;295;70
Flor De Lis;236;70
Amar É Tudo;212;70
Azul;254;70
Seduzir;278;70
A Carta;347;70
Sina;268;70
Acelerou;284;70
Um Amor Puro;327;70
O Bêbado e a Equilibrista;223;71
O Mestre-Sala dos Mares;186;71
Atrás da Porta;167;71
Dois Pra Lá, Dois Pra Cá;263;71
Casa no Campo;171;71
Romaria;243;71
Alô, Alô, Marciano;241;71
Me Deixas Louca;215;71
Fascinação;181;71
Saudosa Maloca;278;71
As Aparências Enganam;247;71
Madalena;157;71
Maria Rosa;233;71
Aprendendo A Jogar;291;71
Layla;431;72
Badge;164;72
I Feel Free;175;72
Sunshine Of Your Love;253;72
Crossroads;253;72
Strange Brew;168;72
White Room;302;72
Bell Bottom Blues;305;72
Cocaine;216;72
I Shot The Sheriff;264;72
After Midnight;191;72
Swing Low Sweet Chariot;208;72
Lay Down Sally;232;72
Knockin On Heavens Door;264;72
Wonderful Tonight;221;72
Let It Grow;297;72
Promises;180;72
I Can't Stand It;250;72
Signe;194;73
Before You Accuse Me;224;73
Hey Hey;196;73
Tears In Heaven;275;73
Lonely Stranger;329;73
Nobody Knows You When You're Down & Out;232;73
Layla;285;73
Running On Faith;379;73
Walkin' Blues;226;73
Alberta;222;73
San Francisco Bay Blues;203;73
Malted Milk;217;73
Old Love;473;73
Rollin' And Tumblin';252;73
Collision;204;74
Stripsearch;270;74
Last Cup Of Sorrow;252;74
Naked In Front Of The Computer;129;74
Helpless;326;74
Mouth To Mouth;228;74
Ashes To Ashes;217;74
She Loves Me Not;210;74
Got That Feeling;141;74
Paths Of Glory;257;74
Home Sick Home;119;74
Pristina;233;74
Land Of Sunshine;224;75
Caffeine;268;75
Midlife Crisis;263;75
RV;223;75
Smaller And Smaller;311;75
Everything's Ruined;274;75
Malpractice;241;75
Kindergarten;271;75
Be Aggressive;222;75
A Small Victory;297;75
Crack Hitler;279;75
Jizzlobber;398;75
Midnight Cowboy;252;75
Easy;186;75
Get Out;137;76
Ricochet;269;76
Evidence;294;76
The Gentle Art Of Making Enemies;209;76
Star A.D.;204;76
Cuckoo For Caca;223;76
Caralho Voador;242;76
Ugly In The Morning;186;76
Digging The Grave;185;76
Take This Bottle;299;76
King For A Day;396;76
What A Day;158;76
The Last To Know;268;76
Just A Man;337;76
Absolute Zero;182;76
From Out Of Nowhere;203;77
Epic;294;77
Falling To Pieces;316;77
Surprise! You're Dead!;147;77
Zombie Eaters;361;77
The Real Thing;494;77
Underwater Love;232;77
The Morning After;224;77
Woodpecker From Mars;341;77
War Pigs;465;77
Edge Of The World;250;77
Deixa Entrar;34;78
Falamansa Song;237;78
Xote Dos Milagres;270;78
Rindo À Toa;222;78
Confidência;222;78
Forró De Tóquio;169;78
Zeca Violeiro;144;78
Avisa;355;78
Principiando/Decolagem;117;78
Asas;232;78
Medo De Escuro;214;78
Oração;271;78
Minha Gata;182;78
Desaforo;175;78
In Your Honor;230;79
No Way Back;197;79
Best Of You;256;79
DOA;252;79
Hell;117;79
The Last Song;200;79
Free Me;279;79
Resolve;289;79
The Deepest Blues Are Black;238;79
End Over End;352;79
Still;313;80
What If I Do?;303;80
Miracle;210;80
Another Round;266;80
Friend Of A Friend;193;80
Over And Out;316;80
On The Mend;272;80
Virginia Moon;229;80
Cold Day In The Sun;201;80
Razor;293;80
All My Life;264;81
Low;268;81
